^-	-1	*head*
-$	-1	*tail*
breath	-1	*invalid*
bre1	-1	*invalid*
bre2	-1	*invalid*
bre3	-1	*invalid*
bre4	-1	*invalid*
gasp	-1	*invalid*
tth	10	DH
sh	10	SH
th	10	TH
ng	10	NG
ch	10	CH
&	5	AH
1	5	IH
@	10	AE
6	10	UW
3	10	ER
Q	10	OY
8	10	AW
A	10	EY
E	10	IY
O	10	OW
I	10	AY
U	5	Y	UW
a	10	AO
e	10	EH
i	10	IH
o	10	UH
u	10	AA
u	10	AH
p	10	P
b	10	B
t	10	T
d	10	D
k	10	K
g	10	G
j	10	JH
j	10	ZH
f	10	F
v	10	V
s	10	S
z	10	Z
h	10	HH
m	10	M
n	10	N
l	10	L
r	10	R
y	10	Y
w	10	W
~	0	*ignore*
